year,aqi
1975,95.0
1976,109.72033898305085
1977,25.926773455377575
1978,34.16447368421053
1979,4.2824858757062145
1980,5.408
1988,16.847826086956523
1989,17.525
1990,15.441558441558442
1991,15.535714285714286
1992,16.661016949152543
1993,16.657894736842106
1994,17.641975308641975
1995,40.760355029585796
1996,53.959933222036724
1997,44.42572463768116
1998,13.846153846153847
1999,15.447368421052632
2000,15.0
2001,15.318965517241379
2002,24.884615384615383
2003,22.556603773584907
2004,48.30084235860409
2005,51.953293413173654
2006,47.71841155234657
2007,48.41428571428571
2008,43.30689102564103
2009,31.350150602409638
2010,32.974289053369695
2011,35.257319587628864
2012,39.454911433172306
2013,37.9513205592957
2014,36.31484904497844
2015,30.963210702341136
2016,32.559008509064
2017,33.0744481855593
2018,35.20155570807596
2019,29.033529283692577
2020,33.26011068539804
2021,33.23880347593583
2022,28.72323979163166
2023,27.72988063149788
