year,parameter,aqi
1975,Sulfur dioxide,95.0
1976,Sulfur dioxide,109.72033898305085
1977,Nitrogen dioxide (NO2),6.480769230769231
1977,Sulfur dioxide,36.72241992882562
1978,Nitrogen dioxide (NO2),6.91044776119403
1978,Sulfur dioxide,55.64705882352941
1979,Sulfur dioxide,4.2824858757062145
1980,Sulfur dioxide,5.408
1988,Acceptable PM2.5 AQI & Speciation Mass,16.767441860465116
1988,PM10 Total 0-10um STP,18.0
1989,Acceptable PM2.5 AQI & Speciation Mass,16.92
1989,PM10 Total 0-10um STP,18.533333333333335
1989,Sulfur dioxide,
1990,Acceptable PM2.5 AQI & Speciation Mass,15.191489361702128
1990,PM10 Total 0-10um STP,15.833333333333334
1991,Acceptable PM2.5 AQI & Speciation Mass,14.358490566037736
1991,PM10 Total 0-10um STP,17.548387096774192
1991,Sulfur dioxide,
1992,Acceptable PM2.5 AQI & Speciation Mass,14.258064516129032
1992,PM10 Total 0-10um STP,19.321428571428573
1992,Sulfur dioxide,
1993,Acceptable PM2.5 AQI & Speciation Mass,15.934782608695652
1993,PM10 Total 0-10um STP,17.766666666666666
1994,Acceptable PM2.5 AQI & Speciation Mass,18.02
1994,PM10 Total 0-10um STP,17.032258064516128
1995,Acceptable PM2.5 AQI & Speciation Mass,14.78
1995,Ozone,52.563380281690144
1995,PM10 Total 0-10um STP,24.56
1996,Acceptable PM2.5 AQI & Speciation Mass,19.26923076923077
1996,Ozone,66.73103448275862
1996,PM10 Total 0-10um STP,20.464285714285715
1997,Acceptable PM2.5 AQI & Speciation Mass,18.096153846153847
1997,Ozone,55.1119592875318
1997,PM10 Total 0-10um STP,17.97196261682243
1998,Acceptable PM2.5 AQI & Speciation Mass,13.846153846153847
1999,Acceptable PM2.5 AQI & Speciation Mass,15.447368421052632
2000,Acceptable PM2.5 AQI & Speciation Mass,15.0
2001,Acceptable PM2.5 AQI & Speciation Mass,15.318965517241379
2002,Acceptable PM2.5 AQI & Speciation Mass,17.54255319148936
2002,PM10 Total 0-10um STP,29.042168674698797
2003,Acceptable PM2.5 AQI & Speciation Mass,17.53103448275862
2003,PM10 Total 0-10um STP,26.76878612716763
2004,Acceptable PM2.5 AQI & Speciation Mass,14.76
2004,Ozone,63.01841620626151
2004,PM10 Total 0-10um STP,24.993865030674847
2005,Acceptable PM2.5 AQI & Speciation Mass,15.107142857142858
2005,Ozone,67.51705565529623
2005,PM10 Total 0-10um STP,24.59036144578313
2006,Acceptable PM2.5 AQI & Speciation Mass,15.767241379310345
2006,Ozone,61.77472527472528
2006,PM10 Total 0-10um STP,24.236686390532544
2007,Acceptable PM2.5 AQI & Speciation Mass,19.445378151260503
2007,Ozone,61.08108108108108
2007,PM10 Total 0-10um STP,26.83132530120482
2008,Acceptable PM2.5 AQI & Speciation Mass,15.955752212389381
2008,Nitrogen dioxide (NO2),10.785714285714286
2008,Ozone,58.44776119402985
2008,PM10 Total 0-10um STP,21.104294478527606
2009,Acceptable PM2.5 AQI & Speciation Mass,16.82051282051282
2009,Nitrogen dioxide (NO2),9.837349397590362
2009,Ozone,51.99302093718843
2009,PM10 Total 0-10um STP,19.39673913043478
2009,PM2.5 - Local Conditions,21.876470588235293
2010,Acceptable PM2.5 AQI & Speciation Mass,12.669724770642201
2010,Nitrogen dioxide (NO2),4.34
2010,Ozone,57.92185954500494
2010,PM10 Total 0-10um STP,16.278688524590162
2010,PM2.5 - Local Conditions,20.635359116022098
2011,Acceptable PM2.5 AQI & Speciation Mass,13.49
2011,Nitrogen dioxide (NO2),8.732026143790849
2011,Ozone,57.74282888229476
2011,PM2.5 - Local Conditions,22.916666666666668
2012,Acceptable PM2.5 AQI & Speciation Mass,16.08
2012,Nitrogen dioxide (NO2),8.529069767441861
2012,Ozone,60.50294695481336
2012,PM2.5 - Local Conditions,31.962962962962962
2013,Acceptable PM2.5 AQI & Speciation Mass,14.306122448979592
2013,Nitrogen dioxide (NO2),7.616883116883117
2013,Ozone,53.23641304347826
2013,PM2.5 - Local Conditions,27.048387096774192
2014,Acceptable PM2.5 AQI & Speciation Mass,17.39669421487603
2014,Nitrogen dioxide (NO2),6.2
2014,Ozone,51.19462365591398
2014,PM10 Total 0-10um STP,13.733333333333333
2014,PM2.5 - Local Conditions,19.215686274509803
2015,Acceptable PM2.5 AQI & Speciation Mass,12.96694214876033
2015,Nitrogen dioxide (NO2),5.7
2015,Ozone,48.7536231884058
2015,PM10 Total 0-10um STP,12.34375
2015,PM2.5 - Local Conditions,19.790393013100438
2016,Acceptable PM2.5 AQI & Speciation Mass,13.616666666666667
2016,Nitrogen dioxide (NO2),6.901639344262295
2016,Ozone,48.405797101449274
2016,PM10 Total 0-10um STP,15.18867924528302
2016,PM2.5 - Local Conditions,25.756345177664976
2017,Acceptable PM2.5 AQI & Speciation Mass,14.783333333333333
2017,Nitrogen dioxide (NO2),7.477777777777778
2017,Ozone,51.41230486685032
2017,PM2.5 - Local Conditions,25.320652173913043
2018,Acceptable PM2.5 AQI & Speciation Mass,17.694915254237287
2018,Nitrogen dioxide (NO2),10.793103448275861
2018,Ozone,55.82327317983821
2018,PM2.5 - Local Conditions,27.978461538461538
2019,Acceptable PM2.5 AQI & Speciation Mass,13.862068965517242
2019,Nitrogen dioxide (NO2),11.182965299684543
2019,Ozone,47.627522935779815
2019,PM2.5 - Local Conditions,21.1875
2020,Acceptable PM2.5 AQI & Speciation Mass,19.270491803278688
2020,Nitrogen dioxide (NO2),11.932065217391305
2020,Ozone,47.97524154589372
2020,PM2.5 - Local Conditions,30.071428571428573
2021,Acceptable PM2.5 AQI & Speciation Mass,21.084033613445378
2021,Nitrogen dioxide (NO2),11.019021739130435
2021,Ozone,50.49483910139648
2021,PM10 Total 0-10um STP,23.357142857142858
2021,PM2.5 - Local Conditions,30.565454545454546
2022,Acceptable PM2.5 AQI & Speciation Mass,15.554621848739496
2022,Nitrogen dioxide (NO2),11.994565217391305
2022,Ozone,48.21135265700483
2022,PM10 Total 0-10um STP,21.642857142857142
2022,PM2.5 - Local Conditions,23.47329650092081
2023,Nitrogen dioxide (NO2),10.312676056338027
2023,Ozone,49.04664310954064
2023,PM10 Total 0-10um STP,18.03252032520325
2023,PM2.5 - Local Conditions,22.093686354378818
